name,url,latitude,longitude
Apalachia,https://www.tva.gov/Environment/Lake-Levels/Apalachia,35.16785559,-84.29546816
Blue Ridge,https://www.tva.gov/Environment/Lake-Levels/Blue-Ridge,34.88287803,-84.28041607
Boone,https://www.tva.gov/Environment/Lake-Levels/Boone,36.44024062,-82.43811087
Chatuge,https://www.tva.gov/Environment/Lake-Levels/Chatuge,35.01771412,-83.79130302
Cherokee,https://www.tva.gov/Environment/Lake-Levels/Cherokee,36.16662796,-83.49815305
Chickamauga,https://www.tva.gov/Environment/Lake-Levels/Chickamauga,35.10467134,-85.22908444
Douglas,https://www.tva.gov/Environment/Lake-Levels/Douglas,35.96122029,-83.53842021
Fontana,https://www.tva.gov/Environment/Lake-Levels/Fontana,35.45259921,-83.80477306
Fort Loudoun,https://www.tva.gov/Environment/Lake-Levels/Fort-Loudoun,35.79149011,-84.2427719
Fort Patrick Henry,https://www.tva.gov/Environment/Lake-Levels/Fort-Patrick-Henry,36.49794857,-82.5087622
Great Falls,https://www.tva.gov/Environment/Lake-Levels/Great-Falls,35.80202813,-85.62208394
Guntersville,https://www.tva.gov/Environment/Lake-Levels/Guntersville,34.42367321,-86.39221989
Hiwassee,https://www.tva.gov/Environment/Lake-Levels/Hiwassee,35.15152031,-84.17756196
Kentucky,https://www.tva.gov/Environment/Lake-Levels/Kentucky,37.01249832,-88.27010506
Melton Hill,https://www.tva.gov/Environment/Lake-Levels/Melton-Hill,35.88569215,-84.29992221
Nickajack,https://www.tva.gov/Environment/Lake-Levels/Nickajack,35.00360192,-85.61967979
Normandy,https://www.tva.gov/Environment/Lake-Levels/Normandy,35.46539488,-86.24670601
Norris,https://www.tva.gov/Environment/Lake-Levels/Norris,36.22406974,-84.09263395
Nottely,https://www.tva.gov/Environment/Lake-Levels/Nottely,34.95823501,-84.08831949
Ocoee No. 1,https://www.tva.gov/Environment/Lake-Levels/Ocoee-1,35.094212,-84.64757259
Ocoee No. 2,https://www.tva.gov/Environment/Lake-Levels/Ocoee-2,35.08270324,-84.49118989
Ocoee No. 3,https://www.tva.gov/Environment/Lake-Levels/Ocoee-3,35.04067551,-84.46680698
Pickwick Landing,https://www.tva.gov/Environment/Lake-Levels/Pickwick,35.06863551,-88.24976635
Raccoon Mountain,https://www.tva.gov/Environment/Lake-Levels/Raccoon-Mountain,35.04854656,-85.40537789
South Holston,https://www.tva.gov/Environment/Lake-Levels/South-Holston,36.52401819,-82.08850001
Tims Ford,https://www.tva.gov/Environment/Lake-Levels/Tims-Ford,35.19683951,-86.27855067
Watauga,https://www.tva.gov/Environment/Lake-Levels/Watauga,36.32297953,-82.12259996
Watts Bar,https://www.tva.gov/Environment/Lake-Levels/Watts-Bar,35.62117864,-84.78216649
Wheeler,https://www.tva.gov/Environment/Lake-Levels/Wheeler,34.80643207,-87.38188415
Wilbur ,https://www.tva.gov/Environment/Lake-Levels/Wilbur ,36.34122533,-82.12638619
Wilson,https://www.tva.gov/Environment/Lake-Levels/Wilson,34.79996832,-87.62551396
